item_id,p_next_correct,expected_mastery_gain,score,reason,rank
360,0.036445946724628336,0.009204426088804687,0.30644309826216326,"skills=[35, 41], p≈0.04, Δ≈0.009",1
261,0.01651811920117739,0.005209985722470371,0.30364699000572926,"skills=[37, 43], p≈0.02, Δ≈0.005",2
375,0.02281925015157942,0.0032254251942779085,0.30225779763599453,"skills=[10, 44], p≈0.02, Δ≈0.003",3
26,0.02041051272667081,0.0031511957413206185,0.3022058370189244,"skills=[25, 40], p≈0.02, Δ≈0.003",4
50,0.020372996930271624,0.00315012301445451,0.30220508611011815,"skills=[47, 48], p≈0.02, Δ≈0.003",5
81,0.01952824422009281,0.0031257021183935274,0.30218799148287545,"skills=[8, 36], p≈0.02, Δ≈0.003",6
29,0.02207454947202216,0.003094218806498689,0.3021659531645491,"skills=[3, 29], p≈0.02, Δ≈0.003",7
403,0.029815174334945016,0.003092033160646303,0.3021644232124524,"skills=[0, 22], p≈0.03, Δ≈0.003",8
442,0.029474229303786948,0.003084340281377315,0.3021590381969641,"skills=[27, 42], p≈0.03, Δ≈0.003",9
240,0.02706069928456639,0.0030408330389704854,0.3021285831272793,"skills=[26, 34], p≈0.03, Δ≈0.003",10
