skill_field,skill_name,T,S,G,L0
L1,Linuxファイル操作,3.6616978572745686e-05,0.3923674684828325,0.34878024987992207,0.448562067317222
L2,テキスト処理,0.0005155602020496019,0.2197509846469843,0.3821022888670758,0.4451087744042169
L2,ファイルの操作,0.0009025474435452878,0.3999093461032621,0.195714838324406,0.6242503332133812
L2,標準入出力操作,0.0008950861738431752,0.3438106216464773,0.25669061384279035,0.3280419487571077
L3,chmod,0.032870581006652244,0.510956883102637,0.38353691595100314,0.09562831082701943
L3,chown,0.000987521076410701,0.06867214785230015,0.20665723163776178,0.17615313973266883
L3,cp,0.03810394367980348,0.24628378112291527,0.46225352439122264,0.2784447969446756
L3,cut,0.04582647784187068,0.09122163173792967,0.37174709385214544,0.6777914198949019
L3,find,0.046925695799984624,5.905667920497624e-05,0.5491760618144216,0.004942581062139068
L3,grep,0.055837504629219055,0.29777072438623503,0.21206173503998896,0.7519694057911663
L3,head,0.30839430412228486,0.7347783176324082,8.807329493705503e-05,0.9558147054030232
L3,ls,0.23044341786389771,0.37484790364666914,0.5789827434756453,0.13199157250978244
L3,mkdir,9.842461063476662e-06,0.007599600069128337,0.4675371825026038,0.14608555637567075
L3,mv,0.6172707142755642,0.16731961493199893,0.4348930828206329,0.13136151954282668
L3,rm,0.06447129864747328,0.7515227696681139,0.23719605417139286,0.5736826273851708
L3,rmdir,0.004931277021664063,0.11277862260556426,0.5214920575059022,0.1728956863097355
L3,sed,0.08188571942583757,0.27418602475714665,0.2053412822038213,0.3733444860534516
L3,sort,0.032127461920843974,0.21191516329233778,0.09906474438039559,0.4271239980464095
L3,tail,0.07606523590342386,0.40328101306773,0.12738101658731268,0.5013596888042989
L3,tee,0.0016346509685940343,0.5911837866579638,0.0012453593389305676,0.8266376843278169
L3,touch,0.11461191716324091,0.026167648766001007,0.2431951337168418,0.09600442322148506
L3,uniq,0.0011266188770428305,0.16191501222068183,0.3567992810306918,0.7146577376666776
L3,wc,9.308945461814294e-07,0.1420930870861532,2.4937021667154268e-08,0.9388695601816336
L3,xargs,0.006162961028877067,0.30549976180068733,2.035583980120731e-05,0.9411312582878169
L3,パイプ,0.0762326229383814,0.4469404936229771,0.014819917686617654,0.5464809854997188
L3,ヒアドキュメント,0.1177858324856377,0.18918538925522732,0.2144486867466852,0.38678259007658733
L3,リダイレクト,0.03543927122107655,0.35540837835563244,0.15139474477534481,0.21498047046542684
L3,標準入出力,2.8769540752469042e-08,0.07153579232595679,0.10653503647170108,0.5876758984709661
