skill,n,auc,logloss,acc@0.5
0,2589,0.4973568281938326,0.28113495433932323,0.9190283400809717
1,2893,0.48149086609232844,0.26057877693876985,0.9272959183673469
10,2725,0.5366792065663475,0.28564879355945044,0.9171483622350675
11,2731,0.563701923076923,0.25727630429286286,0.9285714285714286
12,2994,0.4685679304230347,0.27385505400205,0.9211324570273003
13,2858,0.5237179487179486,0.2781546874307414,0.9202453987730062
14,3739,0.5062842242503259,0.2302521130122282,0.9388004895960832
15,3459,0.5147058823529411,0.21816407000125482,0.9431664411366711
16,2995,0.5227846448467968,0.28322160118230355,0.9181585677749361
17,3543,0.43564993564993565,0.22515743122592882,0.940677966101695
18,2644,0.5225,0.24419920783148089,0.9336099585062241
19,3912,0.5157700421940928,0.22565040521649662,0.9404761904761905
20,3395,0.49676501035196685,0.238014374067217,0.935933147632312
21,3977,0.4450198920147769,0.23148430796770844,0.9383499546690843
22,3297,0.5173249763481552,0.27869453532299504,0.92003046458492
23,2468,0.5186248641936986,0.28439005669953665,0.9176755447941889
24,2513,0.5065895109998957,0.3032653414550122,0.9096858638743456
25,3521,0.5697674418604651,0.19760945572305066,0.9502762430939227
26,3491,0.548352615694165,0.22780017685457346,0.9395085066162571
27,2924,0.5195230607966457,0.2265868393740824,0.9401330376940134
28,3165,0.3633330109294902,0.2583922894403407,0.9281524926686217
29,2793,0.5781517094017093,0.24674580173208077,0.9326424870466321
3,2667,0.5193391393442622,0.2797427737050331,0.9195979899497487
30,3760,0.5035294117647059,0.1962007291784479,0.9507829977628636
31,3487,0.5391969407265775,0.2156915419885224,0.944043321299639
32,2065,0.40522875816993464,0.313238063066003,0.9053254437869822
33,2514,0.5486012747875355,0.2861966693491247,0.9168831168831169
34,3281,0.46790335508988884,0.25747890609514934,0.9285091543156059
35,3090,0.44151657646467335,0.2573195254770573,0.9285714285714286
36,2810,0.4833333333333333,0.2711982845687736,0.9230769230769231
37,3296,0.42053846153846147,0.22134945809939274,0.9420289855072463
38,4534,0.5361184355086794,0.18086389605383144,0.9558665231431647
39,3472,0.551392131756672,0.230516836282825,0.9387019230769231
4,3224,0.47101694915254233,0.23246871597234242,0.9365079365079365
40,2918,0.47286647992530356,0.2880321952577272,0.9161676646706587
41,3525,0.5025129533678756,0.22923377457837024,0.9391727493917275
42,2993,0.5473515248796147,0.29322388747266953,0.913926499032882
43,2605,0.45154084087524343,0.29760410695960754,0.9121212121212121
45,2552,0.5746355685131195,0.2760330548711515,0.9210526315789473
46,2699,0.44483870967741934,0.26959375273736785,0.9237187127532777
47,2895,0.42658356556451005,0.2948151622757579,0.9133089133089133
48,3296,0.45535714285714285,0.2205719710883012,0.9423076923076923
49,2488,0.48232731361113057,0.3074179893183751,0.9078787878787878
5,2379,0.5791224786857975,0.2883669867100784,0.916
6,2602,0.5070598006644518,0.2670329982418133,0.9247311827956989
7,2634,0.5,0.2449057018705541,0.9333333333333333
8,2849,0.47657929116271225,0.2605821798072579,0.9272943980929678
9,3470,0.5156849076333218,0.22473133257314737,0.940809968847352
