step,p_L_prior,p_correct_now,p_L_post,p_L_after,p_next,observation,order_value,item_id
0,0.3693446140202759,0.5070007468041017,0.5584609752645325,0.5589474574418267,0.5850481879328757,1,0,6
1,0.5589474574418267,0.5850481879328757,0.7324011298192946,0.7326959669089154,0.6565694073361894,1,1,7
2,0.7326959669089154,0.6565694073361894,0.8554858235080921,0.8556450474210221,0.7071797302086724,1,2,9
3,0.8556450474210221,0.7071797302086724,0.6820097498506463,0.6823601075327191,0.6358493329404938,0,3,1
4,0.6823601075327191,0.6358493329404938,0.8226764552788649,0.8228718281435242,0.693689078612937,1,4,3
5,0.8228718281435242,0.693689078612937,0.9093624062709627,0.9094622696385742,0.729332860441007,1,5,12
6,0.9094622696385742,0.729332860441007,0.9559354432493539,0.9559839930270828,0.7484828974438857,1,6,14
7,0.9559839930270828,0.7484828974438857,0.8871175640119557,0.8872419364686613,0.7201861614060947,0,7,15
8,0.8872419364686613,0.7201861614060947,0.9444238547604956,0.9444850878625027,0.7437495289580421,1,8,2
9,0.9444850878625027,0.7437495289580421,0.9735047185565452,0.9735339107263933,0.7557070832405429,1,9,16
10,0.9735339107263933,0.7557070832405429,0.9875685478052953,0.9875822446239044,0.7614898895162147,1,15,4
11,0.9875822446239044,0.7614898895162147,0.9942115199247683,0.9942178975997471,0.7642213661419718,1,17,17
12,0.9942178975997471,0.7642213661419718,0.9973143328495552,0.997317291884045,0.76549718979827,1,18,5
13,0.997317291884045,0.76549718979827,0.9926208111679479,0.9926289414659477,0.7635672938819204,0,19,8
14,0.9926289414659477,0.7635672938819204,0.9965733627936593,0.9965771382196931,0.7651925155723864,1,20,10
15,0.9965771382196931,0.7651925155723864,0.9984121691609386,0.9984139186131058,0.765948601330566,1,21,13
16,0.9984139186131058,0.765948601330566,0.9992649592356295,0.9992657690943542,0.7662992540374873,1,22,11
